Title,Brand,Price,ItemStatus,NbFavourite,UserRating,NbEvalUser,Description,URL,Type
Carhartt WIP Tropper Parka Oliv Gr M,Carhartt,115.0,3,16,4.9,10,"Hallo,
Verkaufe hier eine wenig getragene Winterjacke von Carhartt in Gr M. Ich bin 1,85m und 78Kg schwer und sie sitzt schön locker.
Neupreis lag bei 250€.

Versand 7€",https://www.vinted.fr/items/2398375463-carhartt-wip-tropper-parka-oliv-gr-m,manteaux
Fishtail Parka von Carhartt Größe XL,Carhartt,120.0,4,10,5,496,"Toller, qualitativ hochwertiger 
Fishtail Parka von Carhartt
Reißverschlüsse funktionieren 
Keine Flecken oder Löcher
Größe XL
Alles Details auf den Fotos zu sehen",https://www.vinted.fr/items/4627760738-fishtail-parka-von-carhartt-grosse-xl,manteaux
Carhartt Winterjacke,Carhartt,150.0,1,6,No rating,No evaluations,Verkauft wird ein neuer Carhartt Parka. Fell an der Kaputze kann abgemacht werden.,https://www.vinted.fr/items/1602349568-carhartt-winterjacke,manteaux
Schwarze Carhartt Jacke,Carhartt,130.0,1,4,No rating,No evaluations,"Für den Mann
Größe L
Noch nicht einmal getragen!!",https://www.vinted.fr/items/5176967450-schwarze-carhartt-jacke,manteaux
Carhartt Winterjacke / Winterparka,Carhartt,150.0,3,7,5,2,1 mal getragen Zustand wie neu,https://www.vinted.fr/items/3928047695-carhartt-winterjacke-winterparka,manteaux
carhartt jacke ,Carhartt,135.0,3,15,5,24,"Zustand 9/10

Guter Zustand, bis auf eine Naht unterm Arm. Siehe Bilder

Keine Flecken oder andere Macken, auf Anfrage gerne mehr Bilder.",https://www.vinted.fr/items/3747475590-carhartt-jacke,manteaux
Carhartt Windbreaker!!,Carhartt,110.0,3,12,No rating,No evaluations,"Hallo, ich verkaufe meine sehr gut erhaltene Carhartt Windbreaker Jacke in der Größe M.            Bei Interesse und fragen gerne melden",https://www.vinted.fr/items/4031086787-carhartt-windbreaker,manteaux
Carharrt Kilda Jacket schwarz Jacke,Carhartt,110.0,1,7,5,50,"* neu und ungetragen 
* Größe M
* tierfreier Nichtraucherhaushalt 
* Versicherter Versand 

Der Verkauf erfolgt unter Ausschluss der Sachmangelhaftung.

Die Haftung auf Schadenersatz wegen Verletzungen von Gesundheit, Körper oder Leben und grob fahrlässiger und/oder vorsätzlicher Verletzung meiner Pflicht als Verkäufer bleiben davon unberührt.",https://www.vinted.fr/items/5924776143-carharrt-kilda-jacket-schwarz-jacke,manteaux
Carhartt WIP Tropper Parka,Carhartt,120.0,3,6,No rating,No evaluations,"Kaum getragen und in top Zustand, keine Mängel vorhanden",https://www.vinted.fr/items/1362781961-carhartt-wip-tropper-parka,manteaux
Gefütterte Winterjacke Carhartt,Carhartt,135.0,3,12,5,365,"Sehr schöne zeitlose Jacke von carhartt gefüttert. 
Perfekt für die kalten Tage. 
Neuwertig , da nur einmal getragen . 
Neupreis lag bei 200 Euro.",https://www.vinted.fr/items/2065420552-gefutterte-winterjacke-carhartt,manteaux
Parka Carharrt Navy ,Carhartt,150.0,3,10,5,4,"Prix magasin 400 e
Portée 2 hivers",https://www.vinted.fr/items/353782887-parka-carharrt-navy,manteaux
Carhartt winterjacke (Parker) S,Carhartt,130.0,3,3,No rating,No evaluations,"Selten getragen, größe S",https://www.vinted.fr/items/753655325-carhartt-winterjacke-parker-s,manteaux
Carhartt Milter Jacket Jacke Parka,Carhartt,190.0,1,12,5,505,"- neu und ungetragen
- Größe L
- Originalpreis 359€
- versicherter Versand

Der Verkauf erfolgt unter Ausschluss jeglicher Sach­mangelhaftung.",https://www.vinted.fr/items/5464794238-carhartt-milter-jacket-jacke-parka,manteaux
Bryce Jacke - Carhartt Parka Khaki grün,Carhartt,165.0,3,4,5,36,"Letztes Jahr gekauft
Zustand sehr gut/ wie neu
Selten getragen 
Neupreis 260€

Bilder folgen*",https://www.vinted.fr/items/5759840067-bryce-jacke-carhartt-parka-khaki-grun,manteaux
Carhartt parka,Carhartt,120.0,2,3,5,2,"Brauner Parka Jacke von Carhartt. 
Ca. 2x getragen, sieht aus wie neu. 
Originalpreis war ca.300€",https://www.vinted.fr/items/5373507465-carhartt-parka,manteaux
Carhartt Parka grün Gr M/L Unisex ,Carhartt,169.0,1,9,4.9,193,"Carhartt Parka grün
Hochwertige Qualität 
Viele Tasche mit verstellbarem Bund
Gr L
Männer M/L

#unisexmode #carhartt #parkagrün #Geschenkefürihn #Geschenkefür sie #weihnachtsgeschenk #übergangsjacke #übergangsmantel",https://www.vinted.fr/items/2408596154-carhartt-parka-grun-gr-ml-unisex,manteaux
Carhartt Quick Duck Sawtooth Parker,Carhartt,140.0,3,3,No rating,No evaluations,"Neue Model 
Nur einmal getragen, top zustand wie Neu
Farbe: Dark Canyon Brown
Gr. L",https://www.vinted.fr/items/939277798-carhartt-quick-duck-sawtooth-parker,manteaux
Carhartt X Quartersnacks Arctic Coat,Carhartt,165.0,2,27,5,62,"Hey! Verkaufe hier meine Carhartt X Quartersnacks Jacket. Ist kaum getragen und hält richtig warm im Winter. Hab dir letzten Winter vielleicht 2-3 mal getragen.






Carhartt
Vans
Dickies
Dime
Bronze
Brain Dead
Civilist
Stüssy",https://www.vinted.fr/items/5374716914-carhartt-x-quartersnacks-arctic-coat,manteaux
Carhartt Grey Parka L,Carhartt,125.0,3,4,5,32,"Carhartt Parka

Farbe: Grau
Größe: L

Selten getragen, befindet sich in einem Top Zustand .

Bei Fragen gerne melden :)",https://www.vinted.fr/items/1371846454-carhartt-grey-parka-l,manteaux
Carhartt Camouflage Überziehjacke M,Carhartt,120.0,3,3,5,8,DER Klassiker von damals,https://www.vinted.fr/items/1948361873-carhartt-camouflage-uberziehjacke-m,manteaux
Carhartt Jacke,Carhartt,130.0,1,8,5,7,"Hiermit verkaufe ich eine nagelneue carhartt Jacke. Da sie mir leider nicht gepasst hat und ich sie zum Weihnachten bekommen habe, verkaufe ich sie weiter um mir eine neue zu kaufen. Mit freundlichen Grüßen",https://www.vinted.fr/items/3919822163-carhartt-jacke,manteaux
Carhartt Tropper Parka Khaki Slate Green,Carhartt,110.0,3,2,5,516,Selten getragen,https://www.vinted.fr/items/5760897810-carhartt-tropper-parka-khaki-slate-green,manteaux
Carhartt Anchorage Parka,Carhartt,105.0,3,4,4.9,7,"Warmer, bequemer Parka mit vielen Taschen, 
verstellbare Kapuze mit abnehmbarem Kunstfellbesatz und gefüttert mit schwarzem Teddyplüsch,
Verstellbarer Gummizug am Saum und in der Taille,
getragen - jedoch ohne Mängel und wie neu!",https://www.vinted.fr/items/5288689653-carhartt-anchorage-parka,manteaux
Carhatt Parker ,Carhartt,150.0,3,5,5,2,"Neupreis 300€. Vor 1.5 Jahren gekauft, dich nie wirklich getragen, da es auf dem Motorrad ziehmlich umständlich ist mit einem Parker. Zusatand sehr sehr gut",https://www.vinted.fr/items/2307198702-carhatt-parker,manteaux
Carharrt Wintermantel,Carhartt,220.0,1,7,5,3,Schwarzer Carharrtmantel,https://www.vinted.fr/items/5530171281-carharrt-wintermantel,manteaux
Carhartt Parka Übergangsjacke grün Gr. L,Carhartt,169.0,1,12,4.9,193,"Toller Parka von Carhartt, 
Schönes dunkelgrün, Übergangsjacke perfekt für den Herbst oder kühle Sommer 
Hochwertige Qualität 
Gr L
Unisex 
Viele Taschen, verdeckter Reissverschluss, Druckknöpfe 

#carhartt #parkagrün #übergangsjacke #boyfriendstyle #carharttjacke #parka",https://www.vinted.fr/items/1812622812-carhartt-parka-ubergangsjacke-grun-gr-l,manteaux
Carhartt Tropper Parka XL,Carhartt,120.0,3,2,5,38,"- Top Zustand
- Innentasche
- Keine Löcher oder andere bekannte Schäden

Neupreis war 299€",https://www.vinted.fr/items/5549781512-carhartt-tropper-parka-xl,manteaux
Carhartt Brooke Jacket,Carhartt,189.0,4,3,5,1,Habe die Jacke einen Winter lang getragen. Größe M,https://www.vinted.fr/items/5409340553-carhartt-brooke-jacket,manteaux
Carhartt Winter Parka Jacke Größe S schwarz,Carhartt,30.0,3,0,4.9,18,"Wenig getragener Anorak mit Kapuze von Carhartt. Reißverschluss und Druckknöpfe zum
Verschließen. Bänder in der Taille zum
Engermachen. Gefüttert. Innenfutter Teddyfutter. Auch in der Kapuze. Außen 4 Taschen. Eine Innentasche 
Ärmel können enger geknöpft werden. Lieblingsjacke! Leider zu klein.",https://www.vinted.fr/items/6025586110-carhartt-winter-parka-jacke-grosse-s-schwarz,manteaux
Carhartt Winterjacke in Beige / Größe M,Carhartt,50.0,3,0,No rating,No evaluations,"Infos:

- gut erhalten aber nicht sauber
- sollte einmal zur Reinigung
- NP: € 170,00",https://www.vinted.fr/items/6023958611-carhartt-winterjacke-in-beige-grosse-m,manteaux
Carhartt Parker Übergangs Jacke,Carhartt,30.0,4,1,5,348,"Getragen
Guter Zustand
Verschiedene Eingrifftaschen
Reißverschluss und Klettverschluss
Mit Kapuze 
Gr L",https://www.vinted.fr/items/6019486416-carhartt-parker-ubergangs-jacke,manteaux
Carhartt Winterjacke (L),Carhartt,71.0,3,0,4.9,110,No description,https://www.vinted.fr/items/5999624129-carhartt-winterjacke-l,manteaux
Carhartt WIP 3 in 1 winter jacket,Carhartt,89.0,3,0,5,23,"Winter jacket with water repellent hardshell and warm softshell, can be worn separately",https://www.vinted.fr/items/6023036526-carhartt-wip-3-in-1-winter-jacket,manteaux
Carhartt Mantel / Trenchcoat Beige,Carhartt,200.0,2,0,5,1,"Ungetragener Mantel ohne Mängel 

Größe L

https://www.farfetch.com/de/shopping/men/carhartt-wip-einreihiger-newhaven-mantel-item-22308326.aspx?lang=de-DE&size=4&storeid=14449&utm_source=google&utm_medium=cpc&utm_keywordid=203113495&utm_shoppingproductid=22308326-4&pid=google_search&af_channel=Search&c=11188457402&af_c_id=11188457402&af_siteid=&af_keywords=pla-328117329968&af_adset_id=112398664009&af_ad_id=467252264820&af_sub1=203113495&af_sub5=22308326-4&is_retargeting=true&shopping=yes&gad_source=1&gbraid=0AAAAADsmKHSuZDMdWhUHQpVZnuCSlQPfS&gclid=Cj0KCQjwhYS_BhD2ARIsAJTMMQbYEC8p1sbM-ZIp5EFp-j_yNvZIBZQsO-U84pnISK96valTFDEWp_IaAoysEALw_wcB",https://www.vinted.fr/items/6027359288-carhartt-mantel-trenchcoat-beige,manteaux
Wintermantel,Carhartt,20.0,3,2,5,56,Kapuze zum anknöpfen vorhanden (nicht auf Bildern zu sehen),https://www.vinted.fr/items/6005294080-wintermantel,manteaux
Carhartt Winterjacke,Carhartt,80.0,4,0,4.8,5,"In gutem Zustand. Keine Beschädigungen. Leider passt sie mir nicht mehr. 

Bei Fragen gerne melden.",https://www.vinted.fr/items/6020188711-carhartt-winterjacke,manteaux
