Title,Brand,Price,ItemStatus,NbFavourite,UserRating,NbEvalUser,Description,URL
The north Face Mütze schwarz,The North Face,15.0,3,9,4.7,71,"Tolle schwarze Mütze von the north Face 
Unisex",https://www.vinted.fr/items/5945890103-the-north-face-mutze-schwarz
The North Face Mütze,The North Face,10.0,3,9,4.4,20,Gut erhalten; Preis ist Verhandelbar,https://www.vinted.fr/items/5923853266-the-north-face-mutze
North Face Mütze,The North Face,11.0,3,6,5,17,"Paar mal getragen 
Einheitsgröße",https://www.vinted.fr/items/5938132842-north-face-mutze
The north face,The North Face,10.0,2,15,5,16,Neu einheitsgröße,https://www.vinted.fr/items/5883841764-the-north-face
Mütze,The North Face,5.0,3,5,5,67,"Mit weichem fleece gefüttert, so juckt sie nicht",https://www.vinted.fr/items/5697566870-mutze
graue The North Face Mütze,The North Face,15.0,2,5,5,5,"neue, ungetragene The North Face Mütze",https://www.vinted.fr/items/5946356534-graue-the-north-face-mutze
North Face Strickmütze unisex,The North Face,10.0,3,18,4.4,56,Wunderschöne Strickmütze von North Face. Sie ist kuschelig weich & wie Neu. In einem angenehmen ocker Ton.,https://www.vinted.fr/items/5453022785-north-face-strickmutze-unisex
The North Face Mütze,The North Face,7.0,3,5,4.9,80,einmal getragen,https://www.vinted.fr/items/5713097230-the-north-face-mutze
Mütze fast neu,The North Face,12.0,3,9,5,277,Kaum benutzt,https://www.vinted.fr/items/5879709165-mutze-fast-neu
The North Face Mütze,The North Face,20.0,3,0,5,2,"Verkaufe eine The North Face Mütze in schwarz.
Sie ist One Size, nur 2x getragen und frisch gewaschen.

Privatverkauf aus Nichtraucherhaushalt, keine Rücknahme, Garantie und Gewährleistung.",https://www.vinted.fr/items/5995697768-the-north-face-mutze
North Face Winter Mütze,The North Face,8.0,3,0,3.7,3,So gut wie nie getragen,https://www.vinted.fr/items/5977653538-north-face-winter-mutze
The North Face Mütze,The North Face,13.0,3,12,4.8,23,Wird nicht getragen,https://www.vinted.fr/items/5043572527-the-north-face-mutze
The Noth Face(Tnf) Mütze/Beanie Grau/Grey,The North Face,12.0,3,3,4.5,69,"Selten getragen 
Top Zustand
Bei fragen gerne kontaktieren 
Bezahlung gerne über Paypal 






#tnf #northface #beanie #winter #vintage #style #y2k",https://www.vinted.fr/items/5951719123-the-noth-facetnf-mutzebeanie-graugrey
The North Face Mütze,The North Face,8.0,3,4,4.9,145,The North Face Mütze Herren sehr selten getragen,https://www.vinted.fr/items/5889937173-the-north-face-mutze
The North Face Beanie,The North Face,7.0,3,4,4.9,64,"One Size
Gemütlich",https://www.vinted.fr/items/5852705494-the-north-face-beanie
Schwarze The North Face Mütze,The North Face,15.0,3,26,No rating,No evaluations,Super selten getragen. Ist im 1A Zustand,https://www.vinted.fr/items/5220631209-schwarze-the-north-face-mutze
Mütze,The North Face,15.0,3,18,No rating,No evaluations,No description,https://www.vinted.fr/items/5429054984-mutze
Grünes Beanie - The North Face,The North Face,15.0,2,13,5,90,"Nur zum anprobieren getragen, ansonsten neu!",https://www.vinted.fr/items/5673725691-grunes-beanie-the-north-face
North Face Beanie,The North Face,7.0,3,4,5,44,"Wenig getragen, leichter Stoff",https://www.vinted.fr/items/5469143203-north-face-beanie
The North Face Mütze,The North Face,7.0,4,3,4.8,52,Guter Zustand.,https://www.vinted.fr/items/5890329673-the-north-face-mutze
