Title,Brand,Price,ItemStatus,NbFavourite,UserRating,NbEvalUser,Description,URL,Type
Carhartt Kappe,Carhartt,25.0,1,30,5,15,"Nagelneu und ungetragen Abholung in Berlin Wedding und Versand möglich möglich
Bezahlung
Vinted System
Paypal
Banküberweisung
Bar bei Abholung",https://www.vinted.fr/items/5989773549-carhartt-kappe,casquettes
Schlichte Carhartt Mütze,Carhartt,8.0,3,5,5,35,Schlichte Carhartt Mütze - Super für den Winter sitzt passend am Kopf und wärmt gut,https://www.vinted.fr/items/5975085665-schlichte-carhartt-mutze,casquettes
Carhartt Mütze,Carhartt,10.0,2,4,5,31,"Neue, hellgelbe Mütze von Carhartt 😊",https://www.vinted.fr/items/5976078375-carhartt-mutze,casquettes
Carhartt Canvas Cap Black,Carhartt,15.0,2,1,4.7,29,"Wie neu :) 

Bei Fragen gerne melden 🙋",https://www.vinted.fr/items/6002840974-carhartt-canvas-cap-black,casquettes
Carhartt Mütze,Carhartt,14.0,2,5,5,7,"Verkaufe eine neue, ungetragen Carhartt Mütze. Special Edition mit Branding auf beiden Seiten.",https://www.vinted.fr/items/5978151686-carhartt-mutze,casquettes
Carhartt Käppi Cap Mütze,Carhartt,25.0,3,0,5,117,Einpaar mal getragen.,https://www.vinted.fr/items/6002500825-carhartt-kappi-cap-mutze,casquettes
graue Mütze von Carhartt,Carhartt,6.0,3,20,5,412,Die Mütze ist in einem sehr guten Zustand.,https://www.vinted.fr/items/5922771574-graue-mutze-von-carhartt,casquettes
Carhartt Cap ungetragen,Carhartt,23.0,2,28,5,7,"Ungetragene braune carhartt cap

Nichtraucher Haushalt, keine Haustiere",https://www.vinted.fr/items/5969841350-carhartt-cap-ungetragen,casquettes
Mütze Carhartt,Carhartt,9.0,2,6,5,65,"Türkis farbene Mütze von Carhartt in Einheitsgröße. Nur ein paar mal getragen worden, quasi wie neu.

Nichtraucherhaushalt 🌼",https://www.vinted.fr/items/5953977091-mutze-carhartt,casquettes
Carhartt Cap,Carhartt,9.0,1,14,5,105,"- neu, mit Etikett
- adjustable
- 10/10",https://www.vinted.fr/items/5918542617-carhartt-cap,casquettes
Carhartt Cap C Navy,Carhartt,20.0,3,8,4.9,133,Verkaufe sehr gut erhaltene Carthartt Cap in Navy Blau,https://www.vinted.fr/items/5977679946-carhartt-cap-c-navy,casquettes
Carhartt Cap,Carhartt,18.0,3,50,5,329,"Sehr wenig getragen, super Zustand 
Petrolgrün",https://www.vinted.fr/items/5957497542-carhartt-cap,casquettes
Carhartt Mütze dunkelblau Strickmütze,Carhartt,7.0,3,12,4.8,667,"Strickmütze in dunkel, dunkelblau",https://www.vinted.fr/items/5880994311-carhartt-mutze-dunkelblau-strickmutze,casquettes
Harlem Cap Carrhart rosa,Carhartt,28.0,4,15,5,151,"Super selten getragen.
Vorne sieht man einen minimalen Farbabrieb, der mir gerade zum ersten mal aufgefallen ist, und glaub ich von der Produktion kommt. 

Sonst wie neu!",https://www.vinted.fr/items/5977904987-harlem-cap-carrhart-rosa,casquettes
Mütze von Carhartt,Carhartt,7.0,4,19,5,144,#carhartt #carharrtmütze #wintermütze #carharttwintermütze,https://www.vinted.fr/items/5529097617-mutze-von-carhartt,casquettes
Carhartt Mütze Wintermütze Beanie Neu,Carhartt,16.0,1,13,5,258,"Verkaufe eine neue und ungetragene Mütze Beanie von Carhartt.

#carhartt #carharttwip #carharttvintage #carharttworkwear #carharttmütze #carharttbeanie #beanie",https://www.vinted.fr/items/5946636992-carhartt-mutze-wintermutze-beanie-neu,casquettes
Carhartt Trucker Cap,Carhartt,15.0,3,4,5,179,"Zum Verkauf steht hier eine nur selten getragene Kappe der Marke Kalt. Tierfreier Nichtraucherhaushalt. 
Bei Interesse einfach melden.",https://www.vinted.fr/items/5959960710-carhartt-trucker-cap,casquettes
Carharrt Cap,Carhartt,8.0,4,16,3.7,3,"Wurde am Meer getragen, deshalb ist die Cap an manchen Stellen etwas ausgeblichen",https://www.vinted.fr/items/3735013302-carharrt-cap,casquettes
"*carharrt beanie Mütze dunkelblau one size, wie neu*",Carhartt,9.0,3,10,4.9,1122,"Sehr selten getragen, wie neu",https://www.vinted.fr/items/3639520957-carharrt-beanie-mutze-dunkelblau-one-size-wie-neu,casquettes
Carhartt x Palace cap,Carhartt,130.0,1,1,4.9,119,New with labels,https://www.vinted.fr/items/6001431319-carhartt-x-palace-cap,casquettes
